K,rep,n_obs,method,acc,brier,ece,mi
8,4,512,GPP-cosine,0.6445,0.4892945121392661,0.11771137762814758,0.008572583086788654
8,4,512,GPP-rbf,0.984,0.048874268947902394,0.12209900204837322,0.036321334540843964
8,4,512,LPE,0.796,0.30999741032001615,0.13800479732453821,0.049686677753925323
8,4,512,LP,0.796,0.3084336344855809,0.1255153888038047,
8,4,512,SVM,0.9015,0.1762789734817815,0.13570430159975194,
16,0,32,GPP-cosine,0.4285,0.7718722894032551,0.03653279478102923,0.14008961617946625
16,0,32,GPP-rbf,0.419,0.7574952624181825,0.2139837346598506,0.7086608409881592
16,0,32,LPE,0.4415,0.7793853312081226,0.07038951908051969,0.3972296118736267
16,0,32,LP,0.453,0.7519630362517503,0.08146364798399892,
16,0,32,SVM,0.205,0.9414702985878227,0.04273478702648417,
16,0,128,GPP-cosine,0.6385,0.5786077316358113,0.238724805355072,0.045330725610256195
16,0,128,GPP-rbf,0.8405,0.3020187124007448,0.236186736471951,0.22986802458763123
16,0,128,LPE,0.712,0.4799419047523851,0.22444747655838726,0.19382695853710175
16,0,128,LP,0.716,0.4457228903583869,0.18474891614222705,
16,0,128,SVM,0.7365,0.5804886159223109,0.41127708815513014,
16,0,512,GPP-cosine,0.6645,0.5192009414364317,0.2367210212573409,0.012303494848310947
16,0,512,GPP-rbf,0.9725,0.08969190549942542,0.180318650059402,0.06126517429947853
16,0,512,LPE,0.9115,0.22960453472365655,0.24180957837402822,0.04132632538676262
16,0,512,LP,0.9155,0.2157322806003017,0.22748249323480493,
16,0,512,SVM,0.9665,0.12989471014634923,0.2257655713541091,
16,1,32,GPP-cosine,0.4345,0.7570891718268714,0.035044323422014696,0.14604447782039642
16,1,32,GPP-rbf,0.4265,0.6850349436304912,0.12655495738983152,0.5004478693008423
16,1,32,LPE,0.43,0.7682644094005987,0.12046658347547057,0.3917498290538788
16,1,32,LP,0.4405,0.7400882240307997,0.07263245753022088,
16,1,32,SVM,0.081,0.9504455636963342,0.08370313808198034,
16,1,128,GPP-cosine,0.5405,0.6064961173548287,0.11475977213680744,0.04462948441505432
16,1,128,GPP-rbf,0.815,0.33670584240852164,0.24865137950330976,0.2636064887046814
16,1,128,LPE,0.7075,0.4802299672966792,0.19443716590106486,0.1610204428434372
16,1,128,LP,0.706,0.4520489579676613,0.16501284755144968,
16,1,128,SVM,0.778,0.5656144786025706,0.420054250959349,
16,1,512,GPP-cosine,0.692,0.5046869471537566,0.24605413774400947,0.011991335079073906
16,1,512,GPP-rbf,0.9835,0.08175420258240104,0.2009339898824692,0.06484676897525787
16,1,512,LPE,0.889,0.24342508859136858,0.2126397973895073,0.04586859047412872
16,1,512,LP,0.895,0.2294380223643736,0.20236103488904597,
16,1,512,SVM,0.956,0.1446575864901052,0.2316951217694922,
